train_loss,train_acc,val_loss,val_acc,total_time
1.6424130500125154,39.164,1.2311917596225497,55.88999999999999,4063.293991804123
1.2421877987854315,55.504,1.1999189129358605,58.89,4063.293991804123
1.0849449846445751,61.094,0.962386805799943,66.18,4063.293991804123
0.9930712153844516,64.60000000000001,0.8777132298372969,68.36,4063.293991804123
0.9241334930100404,67.412,0.8289041375812096,71.49,4063.293991804123
0.8680406819524058,69.57600000000001,0.8935253423980519,68.7,4063.293991804123
0.8189581356694936,71.39999999999999,0.9200531108469903,68.65,4063.293991804123
0.7757796463759049,72.78999999999999,0.6907724828659734,75.99000000000001,4063.293991804123
0.7406072752250125,74.298,0.8799974993814396,71.28999999999999,4063.293991804123
0.7110903776820053,75.324,0.7949087695230411,73.94,4063.293991804123
0.6920827244553724,75.928,0.6369815702679791,78.44,4063.293991804123
0.6655258488319719,77.088,0.5919577539721622,79.80000000000001,4063.293991804123
0.6442790748670583,77.74799999999999,0.5904905633835853,79.47999999999999,4063.293991804123
0.629003682633495,78.11399999999999,0.6602897123445438,77.75999999999999,4063.293991804123
0.6138266736589124,78.786,0.5755378173876412,80.38,4063.293991804123
0.5993135351201763,79.164,0.5980248047581201,79.73,4063.293991804123
0.5843828063639228,79.766,0.5757363487648058,80.02,4063.293991804123
0.571098427790815,80.22,0.5403411754324466,81.95,4063.293991804123
0.5598653061767979,80.84,0.5535637706140929,81.46,4063.293991804123
0.5453187324049528,80.938,0.4822411009027988,83.84,4063.293991804123
0.5289361123233804,81.67999999999999,0.47972867571854894,83.77,4063.293991804123
0.5205425746605524,81.952,0.49726660530778427,83.38,4063.293991804123
0.5134272102809623,82.202,0.4806303710122652,83.95,4063.293991804123
0.4982574925093395,83.004,0.5022349410419222,83.07,4063.293991804123
0.49623456543973643,82.854,0.42820558366896233,85.6,4063.293991804123
0.4796008118583113,83.416,0.4633265209348896,84.37,4063.293991804123
0.46961036072972484,83.768,0.4457343024543569,85.17,4063.293991804123
0.46241298081624843,84.11,0.4386019229511671,85.08,4063.293991804123
0.4515473987440319,84.37599999999999,0.42369626707668545,85.82,4063.293991804123
0.4426546743916124,84.708,0.4102282233630555,86.17,4063.293991804123
0.4368383963699536,84.858,0.41091022027444235,86.33999999999999,4063.293991804123
0.42733176559438485,85.19,0.39379594352426406,86.32,4063.293991804123
0.4212382290216968,85.566,0.3982845533497726,86.79,4063.293991804123
0.4096548057273221,85.926,0.3939636889137799,86.82,4063.293991804123
0.4046815978672803,86.112,0.38870160017586963,87.11,4063.293991804123
0.3951664105095827,86.316,0.3760496034652372,87.36,4063.293991804123
0.3902852952175433,86.502,0.36508094094976595,88.06,4063.293991804123
0.3850088125604498,86.688,0.37341093319126323,87.57000000000001,4063.293991804123
0.3808453525881023,86.802,0.36565768360337125,88.12,4063.293991804123
0.3686504061036098,87.278,0.35043856407268137,88.5,4063.293991804123
0.36816468941586095,87.388,0.35882111101210873,87.9,4063.293991804123
0.36433830087447105,87.592,0.35285412510739095,88.38000000000001,4063.293991804123
0.3599016933566164,87.652,0.3479170714375339,88.34,4063.293991804123
0.35697815180434594,87.738,0.34407017672363716,88.52,4063.293991804123
0.35015892445126456,88.006,0.3406767069916182,88.81,4063.293991804123
0.3487858781043221,88.064,0.3361687330128271,88.89,4063.293991804123
0.34621374457693466,88.154,0.336439113639578,88.9,4063.293991804123
0.343856359686693,88.208,0.33484038201313987,88.82,4063.293991804123
0.34429561794566377,88.252,0.3343737579976456,89.01,4063.293991804123
0.3405908848852148,88.23,0.33512005662616295,89.0,4063.293991804123
